date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:56	11396/11396	---M-Z	200	added ('OK')	text/css	etag:%222c84-5497ecbb50fec-gzip%22	http://maniac.yakuzi.eu/assets/plugins/dropzone/dropzone.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/dropzone/dropzone.css	(from http://maniac.yakuzi.eu/file-upload.html)
13:07:56	30590/30590	---M-Z	200	added ('OK')	application/javascript	etag:%22777e-5497ecbc21faf-gzip%22	http://maniac.yakuzi.eu/assets/plugins/dropzone/dropzone.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/dropzone/dropzone.min.js	(from http://maniac.yakuzi.eu/file-upload.html)
13:07:57	2076/2076	---M-Z	200	added ('OK')	text/css	etag:%2281c-5497ec674c28d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css	(from http://maniac.yakuzi.eu/text-editor.html)
13:07:58	4752/4752	---M-Z	200	added ('OK')	text/css	etag:%221290-5497ecb6960db-gzip%22	http://maniac.yakuzi.eu/assets/plugins/datatables/dataTables.bootstrap.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/datatables/dataTables.bootstrap.css	(from http://maniac.yakuzi.eu/data-tables.html)
13:07:59	137437/137437	---M-Z	200	added ('OK')	application/javascript	etag:%22218dd-5497ec66ca46d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js	(from http://maniac.yakuzi.eu/text-editor.html)
13:07:59	6860/6860	---M-Z	200	added ('OK')	application/javascript	etag:%221acc-5497ecb6c105c-gzip%22	http://maniac.yakuzi.eu/assets/plugins/datatables/dataTables.bootstrap.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/datatables/dataTables.bootstrap.js	(from http://maniac.yakuzi.eu/data-tables.html)
13:08:00	3135/3135	---M-Z	200	added ('OK')	application/javascript	etag:%22c3f-5497ecc23f6a5-gzip%22	http://maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.resize.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.resize.js	(from http://maniac.yakuzi.eu/flot.html)
13:08:01	23634/23634	---M-Z	200	added ('OK')	application/javascript	etag:%225c52-5497ecc1e7864-gzip%22	http://maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.pie.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.pie.js	(from http://maniac.yakuzi.eu/flot.html)
13:08:02	437/437	---M-Z	200	added ('OK')	text/css	etag:%221b5-5497ecf95bdc0-gzip%22	http://maniac.yakuzi.eu/assets/plugins/morris/morris.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/morris/morris.css	(from http://maniac.yakuzi.eu/morris.html)
13:08:03	121627/121627	---M-Z	200	added ('OK')	application/javascript	etag:%221db1b-5497ecc11c661-gzip%22	http://maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/flot/jquery.flot.js	(from http://maniac.yakuzi.eu/flot.html)
